https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/type,category,local_path
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-05-2017_headporter_arnobackpack_navy_sp-0924-ny_ah_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_master-piece_gametechnicalnylonbackpack_navy_02050-ny_th_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_master-piece_linkseriesbackpack_green_mp-02340-grn_mg_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_linkseriesbackpack_navy_mp-02340-ny_th_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_linkseriesbackpack_orange_mp-02340-or_gj_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_linkseriesbackpack_yellow_mp-02340-ylw_cj_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_popnpackbackpack_yellow_02030-yl_cj_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_slickseriesballisticbackpack_navy_55542-ny_jtl_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_surpassrolltopbackpack_camel_mp-12164-cml_jtl_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_surpassrucksack_black_12176-bk_jtl_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_surpassrucksack_camo_12176-cm_cj_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-06-2017_masterpiece_surpassrucksack_navy_12176-ny_th_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-08-2015_mismo_backpack_navy_darkbrown_restock_1.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-09-2017_descenteallterrain_xporter_boabackpack_black_dia8751u-bk_mg_2.jpg
bags_type,backpack,https://raw.githubusercontent.com/algolia/training-set-visual/master/training_images/bags_type/backpack/01-09-2017_descenteallterrain_xporter_boabackpack_navy_dia8751u-ny_mg_2.jpg
